product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/05/2024;5;2024;3834;6;639;22;0,27273;2727;0;0;2,33333;2,73252
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/06/2024;6;2024;1914;3;637;20;0,15000;1500;5500;5000;2,33333;2,73252
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/01/2024;1;2024;187032;196;954;22;8,90909;89090;0;0;322,66667;82,05770
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/02/2024;2;2024;325344;347;937;19;18,26316;182631;20499;17704;322,66667;82,05770
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/03/2024;3;2024;275625;302;912;21;14,38095;143809;7874;8703;322,66667;82,05770
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/04/2024;4;2024;254088;283;897;22;12,86364;128636;8944;9370;322,66667;82,05770
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/05/2024;5;2024;326317;374;872;22;17,00000;170000;13215;13215;322,66667;82,05770
1046;67599N;LUBRAX NAUTICA 2T TCW3500-ML;01/06/2024;6;2024;361504;434;832;20;21,70000;217000;12764;11604;322,66667;82,05770
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/01/2024;1;2024;30241;62;487;22;2,81818;28181;0;0;86,00000;33,39461
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/02/2024;2;2024;17290;36;480;19;1,89474;18947;6723;5806;86,00000;33,39461
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/03/2024;3;2024;37577;81;463;21;3,85714;38571;20357;22500;86,00000;33,39461
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/04/2024;4;2024;57949;127;456;22;5,77273;57727;14966;15679;86,00000;33,39461
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/05/2024;5;2024;48485;111;436;22;5,04545;50454;8740;8740;86,00000;33,39461
1047;67600O;LUBRAX GL-5 SAE 80W90 BD-20L;01/06/2024;6;2024;44205;99;446;20;4,95000;49500;9810;8918;86,00000;33,39461
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/01/2024;1;2024;281529;635;443;22;28,86364;288636;0;0;579,16667;93,09654
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/02/2024;2;2024;226438;516;438;19;27,15789;271578;9409;8125;579,16667;93,09654
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/03/2024;3;2024;189209;438;431;21;20,85714;208571;7679;8488;579,16667;93,09654
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/04/2024;4;2024;230343;558;412;22;25,36364;253636;12160;12739;579,16667;93,09654
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/05/2024;5;2024;262313;637;411;22;28,95455;289545;11415;11415;579,16667;93,09654
1048;67601P;LUBRAX GL-5 SAE 90 BD-20L;01/06/2024;6;2024;290499;691;420;20;34,55000;345500;11932;10847;579,16667;93,09654
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/01/2024;1;2024;66320;104;637;22;4,72727;47272;0;0;68,83333;21,39548
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/02/2024;2;2024;36768;57;645;19;3,00000;30000;6346;5480;68,83333;21,39548
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/03/2024;3;2024;32312;51;633;21;2,42857;24285;8095;8947;68,83333;21,39548
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/04/2024;4;2024;53201;85;625;22;3,86364;38636;15909;16666;68,83333;21,39548
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/05/2024;5;2024;39493;65;607;22;2,95455;29545;7647;7647;68,83333;21,39548
1049;67602Q;LUBRAX TRM-4 GL-4 80W1-LITRO;01/06/2024;6;2024;32312;51;633;20;2,55000;25500;8630;7846;68,83333;21,39548
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/01/2024;1;2024;69651;149;467;22;6,77273;67727;0;0;128,83333;35,05092
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/02/2024;2;2024;68599;146;469;19;7,68421;76842;11345;9798;128,83333;35,05092
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/03/2024;3;2024;48754;102;477;21;4,85714;48571;6320;6986;128,83333;35,05092
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/04/2024;4;2024;39480;85;464;22;3,86364;38636;7954;8333;128,83333;35,05092
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/05/2024;5;2024;81681;179;456;22;8,13636;81363;21058;21058;128,83333;35,05092
1050;67603R;LUBRAX TRM-4 GL-4 80W BD-20L;01/06/2024;6;2024;50554;112;451;20;5,60000;56000;6882;6256;128,83333;35,05092
