product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1251;330924J;LUBRAX VALORA OFFROAD 5W30 SN TB-200L;01/01/2024;1;2024;12340;2;6170
1252;331350T;LUBRAX MOTO 4T PROFIS. SL 10W30 1-LT;01/01/2024;1;2024;128259,13;232;552
1253;331800B;LUBRAX VALORA FLEX 5W40 1-LITRO;01/01/2024;1;2024;182481,25;252;724
1254;332282P;LUBRAX MOTO 4T 20W50 TB-200L;01/01/2024;1;2024;0;0;0
1255;332550X;LUBRAX GRAXA LITH 00BD-20KG;01/01/2024;1;2024;0;0;0
1256;384686D;LUBRAX MOTO 4T 10W30 SL 1-LITRO;01/01/2024;1;2024;4414,55;9;490
1257;385755G;LUBRAX MOTO 4T PROFIS. SL 10W40 1-LITRO;01/01/2024;1;2024;2859,32;10;285
1258;385834H;LUBRAX SUPERA PREMIUM 5W20 SP 1-LITRO;01/01/2024;1;2024;18809,99;50;376
1259;387215K;LUBRAX MOTO 4T SCOOTER 10W30 1-LITRO;01/01/2024;1;2024;0;0;0
1260;387217M;LUBRAX TECNO SL 15W40 SEMISSINT 500ML;01/01/2024;1;2024;4468,97;9;496
1261;387219O;LUBRAX TECNO SL 15W40 SEMISSINT. 1-LITRO;01/01/2024;1;2024;285493,33;573;498
1262;387221Q;LUBRAX TECNO SL 15W40 SEMISSINT. TB-200L;01/01/2024;1;2024;0;0;0
1263;387223S;LUBRAX TECNO SL 15W40 SEMISSINT 3-LITRO;01/01/2024;1;2024;4256,71;8;532
1264;490338R;TOP TURBO ESSENCIAL CI-4 15W40 TB-200L;01/01/2024;1;2024;93488,72;25;3739
1265;490601U;TOP TURBO ESSENCIAL CI-4 15W40 1-LITRO;01/01/2024;1;2024;95083,38;169;562
1266;490602V;TOP TURBO ESSENCIAL CI-4 15W40 3-LITROS;01/01/2024;1;2024;178131,7;449;396
1267;490603W;TOP TURBO ESSENCIAL CI-4 15W40 BD-20L;01/01/2024;1;2024;1836800,05;5159;356
1268;490604X;TOP TURBO ESSENCIAL CI-4 15W40 TB-1000L;01/01/2024;1;2024;198900;12;16575
